name,pos,school,games,mpg,pts,reb,fgpercent,thr_percent,ftpercent,nba_ppg,nba_fgp
Jared Sullinger,PF,OHIOST,74,31,17.3,9.7,0.53,0.365,0.733,3.4,0.319
Jarell Eddie,SF,VATECH,123,25.8,9.6,4.6,0.385,0.365,0.812,4.8,0.316
Jarell Martin,PF,LSU,65,30.7,13.7,6.9,0.494,0.308,0.689,3.9,0.384
Jarnell Stokes,C,TENNESSEE,87,29.7,13,9.6,0.53,0,0.628,1.5,1
Jarrett Jack,PG,GATECH,101,32.3,12.5,4.5,0.478,0.359,0.796,3,0.667
Jarrod Uthoff,PF,IOWA,67,30.6,15.6,6.4,0.44,0.377,0.788,4.4,0.421
Jason Smith,C,COLORADOST,87,27.9,14.7,7.9,0.548,0.308,0.751,5.7,0.529
Jason Terry,SG,ARIZONA,129,26,11.3,2.3,0.443,0.374,0.784,4.1,0.432
JaVale McGee,C,NEVADA,66,18.7,8.7,4.8,0.542,0.356,0.514,6.1,0.652
Jaylen Brown,SF,CALIFORNIA,34,27.6,14.6,5.4,0.431,0.294,0.654,6.6,0.454
Jeff Green,PF,GEORGETOWN,102,33.2,13.1,6.5,0.488,0.359,0.7,9.2,0.394
Jeff Teague,PG,WAKE,61,NA,16.4,3,0.462,0.421,0.812,15.3,0.442
Jeff Withey,C,KANSAS,117,19.8,8,5.4,0.568,1,0.726,2.9,0.534
Jerami Grant,PF,SYRACUSE,72,21.9,7.5,4.7,0.486,0.3,0.641,5.5,0.463
Jeremy Lamb,SG,UCONN,75,32.1,14.1,4.7,0.482,0.348,0.806,9.7,0.46
Jeremy Lin,PG,HARVARD,115,32.2,12.9,4.3,0.481,0.333,0.733,14.5,0.438
Jerian Grant,PG,NOTREDAME,120,36.1,14.5,2.9,0.436,0.345,0.79,5.9,0.425
Jerryd Bayless,PG,ARIZONA,30,35.7,19.7,2.7,0.458,0.407,0.839,11,0.344
Jimmy Butler,SF,MARQUETTE,106,34.5,12,5.5,0.508,0.383,0.773,23.9,0.455
Joakim Noah,C,FLORIDA,108,21.1,10.5,6.4,0.616,0.5,0.684,5,0.49
Jodie Meeks,SG,KENTUCKY,81,NA,15.4,3,0.436,0.386,0.89,9.1,0.402
Joe Harris,SG,VIRGINIA,135,30.3,12.6,3.8,0.445,0.407,0.722,8.2,0.425
Joe Johnson,SF,ARKANSAS,53,30.3,15,6.1,0.466,0.406,0.753,9.2,0.436
Joe Young,PG,HOUSTON,132,32.8,17.5,3.6,0.453,0.39,0.886,2.1,0.361
Joel Anthony,C,UNLV,68,16.1,3.7,3.5,0.573,NA,0.561,1.3,0.625
Joel Bolomboy,PF,WEBERST,130,28.8,11.4,10.1,0.528,0.371,0.713,1.8,0.563
Joel Embiid,C,KANSAS,28,23.1,11.2,8.1,0.626,0.2,0.685,20.2,0.466
John Henson,C,UNC,109,23.8,10.3,8.1,0.497,0.208,0.484,6.8,0.515
John Jenkins,SG,VANDY,98,30.6,16.9,2.7,0.468,0.438,0.856,1.8,0.4
John Lucas III,PG,BAYLOR,126,34.8,14.9,2.5,0.445,0.383,0.869,0.4,0.25
John Wall,PG,KENTUCKY,37,34.8,16.6,4.3,0.461,0.325,0.754,23.1,0.451
Johnny O'Bryant,PF,LSU,91,27.1,12.7,7.7,0.467,0.222,0.619,3.5,0.5
Jon Leuer,PF,WISCONSIN,123,31.6,11.2,4.5,0.482,0.368,0.723,10.2,0.48
Jonathon Simmons,SG,HOUSTON,30,30.1,14.7,5,0.512,0.386,0.716,6.2,0.42
Jordan Clarkson,SG,TULSA,93,31.7,15.4,3.3,0.44,0.322,0.805,14.7,0.445
Jordan Crawford,SG,INDIANA,65,32.8,15.5,4.1,0.455,0.384,0.765,14.1,0.482
Jordan Farmar,PG,UCLA,66,32.2,13.3,3,0.41,0.333,0.76,6,0.333
Jordan Hill,C,ARIZONA,97,NA,12.5,7.9,0.578,NA,0.636,1.7,0.385
Jordan McRae,SG,TENNESSEE,114,27.1,13.3,3.3,0.417,0.343,0.769,4.4,0.387
Jordan Mickey,PF,LSU,65,33.8,14,8.8,0.518,0.071,0.669,1.5,0.441
Josh Huestis,PF,STANFORD,135,25,7.5,6.2,0.451,0.319,0.61,7,0.545
Josh McRoberts,PF,DUKE,69,29.7,10.8,6.5,0.54,0.278,0.664,4.9,0.373
Josh Richardson,SG,TENNESSEE,136,28.3,9.2,3.2,0.456,0.318,0.758,10.2,0.394
Jrue Holiday,PG,UCLA,35,NA,8.5,3.8,0.45,0.307,0.726,15.4,0.454
Julius Randle,PF,KENTUCKY,40,30.8,15,10.4,0.501,0.167,0.706,13.2,0.488
Justin Anderson,SF,VIRGINIA,98,24.1,8.9,3.5,0.43,0.357,0.752,7.1,0.424
Justin Hamilton,C,IOWAST,96,25.8,7.9,5.2,0.535,0.25,0.741,6.9,0.459
Justin Harper,PF,RICHMOND,137,28.5,10.6,4.8,0.483,0.382,0.711,4,0.417
Justin Holiday,SG,WASHINGTON,123,25.3,5.3,3.6,0.443,0.343,0.736,7.7,0.433
Justise Winslow,SF,DUKE,39,29.1,12.6,6.5,0.486,0.418,0.641,10.9,0.356
K.J. McDaniels,SF,CLEMSON,94,24.3,11,4.8,0.45,0.313,0.767,4.2,0.456
Karl-Anthony Towns,C,KENTUCKY,39,21.1,10.3,6.7,0.566,0.25,0.813,25.1,0.542
Kawhi Leonard,SF,SANDIEGOST,70,31.9,14.1,10.2,0.449,0.25,0.744,25.5,0.485
Kay Felder,PG,OAKLAND,101,35.9,17.5,4.3,0.426,0.345,0.822,4,0.392
Kelly Olynyk,C,GONZAGA,101,17.2,8.9,4.6,0.594,0.333,0.709,9,0.512
Kelly Oubre,SF,KANSAS,36,21,9.3,5,0.444,0.358,0.718,6.3,0.421
Kemba Walker,PG,UCONN,111,36.5,16.1,4.4,0.428,0.326,0.783,23.2,0.444
Kenneth Faried,PF,MOREHEAD,136,32.5,14.8,12.3,0.569,0.25,0.583,9.6,0.548
Kent Bazemore,SF,OLDDOM,140,29.6,10.1,4.6,0.447,0.334,0.581,11,0.409
Kentavious Caldwell-Pope,SG,GEORGIA,64,33,15.8,6.1,0.415,0.339,0.752,13.8,0.399
Kevin Durant,PF,TEXAS,35,35.9,25.8,11.1,0.473,0.404,0.816,25.1,0.537
Kevin Love,PF,UCLA,39,29.6,17.5,10.6,0.559,0.354,0.767,19,0.427
Kevon Looney,C,UCLA,36,30.9,11.6,9.2,0.47,0.415,0.626,2.5,0.523
Khris Middleton,SF,TEXASAM,87,26,11.3,4.6,0.431,0.321,0.768,14.7,0.45
Klay Thompson,SG,WASHST,98,35,17.9,4.8,0.424,0.39,0.827,22.3,0.468
Kosta Koufos,C,OHIOST,37,27.1,14.4,6.7,0.508,0.349,0.68,6.6,0.551
Kris Dunn,PG,PROVIDENCE,95,31.5,12.8,5.1,0.45,0.354,0.693,3.8,0.377
Kris Humphries,PF,MINNESOTA,29,34.1,21.7,10.1,0.444,0.34,0.742,4.6,0.407
Kyle Anderson,SF,UCLA,71,31.6,12.2,8.7,0.452,0.375,0.736,3.4,0.445
Kyle Korver,SG,CREIGHTON,128,27.7,14.1,5.2,0.472,0.453,0.891,10.1,0.464
Kyle Lowry,PG,VILLANOVA,57,26.7,9.5,3.8,0.449,0.325,0.737,22.4,0.464
Kyle O'Quinn,C,NORFOLKST,129,30.9,12.5,8.5,0.553,0.261,0.685,6.3,0.521
Kyle Singler,SF,DUKE,148,35.4,16.2,6.9,0.433,0.363,0.773,2.8,0.41
Kyle Wiltjer,PF,GONZAGA,74,30.5,18.6,6.3,0.514,0.449,0.828,0.9,0.286
Kyrie Irving,PG,DUKE,11,27.5,17.5,3.4,0.529,0.462,0.901,25.2,0.473
Lamar Patterson,SG,PITT,149,24.3,9.5,3.9,0.435,0.369,0.723,1.8,0.2
LaMarcus Aldridge,PF,TEXAS,53,30.2,13.5,8.2,0.586,NA,0.649,17.3,0.477
Lance Stephenson,SG,CINCY,34,28.2,12.3,5.4,0.44,0.219,0.664,6.8,0.45
Lance Thomas,PF,DUKE,140,25.3,4.6,3.6,0.525,NA,0.6,6,0.398
Langston Galloway,PG,STJOSEPHS,133,35.5,15,4.5,0.438,0.426,0.821,7.9,0.38
Larry Nance,PF,WYOMING,123,29.5,11.3,6.6,0.521,0.308,0.771,7.1,0.526
Larry Sanders,C,VCU,101,26.9,10.3,7.7,0.52,0.25,0.577,0.8,0.25
Lavoy Allen,PF,TEMPLE,135,34.2,10.5,8.5,0.534,0.288,0.671,2.9,0.458
Luc Mbah a Moute,SF,UCLA,107,29.5,8.7,7.2,0.503,0.215,0.668,6.1,0.505
Luke Babbitt,SF,NEVADA,68,37.1,19.4,8.1,0.48,0.421,0.893,4.8,0.402
Luol Deng,SF,DUKE,37,31.1,15.1,6.9,0.476,0.36,0.71,7.6,0.387
Malachi Richardson,SG,SYRACUSE,37,34.4,13.4,4.3,0.369,0.353,0.72,3.6,0.412
Malcolm Brogdon,SG,VIRGINIA,136,30.6,13.3,4.1,0.43,0.365,0.876,10.2,0.457
Malik Beasley,SG,FLORIDAST,34,29.8,15.6,5.3,0.471,0.387,0.813,3.8,0.452
Manny Harris,SG,MICHIGAN,98,36.1,17,5.7,0.406,0.318,0.827,2,0.2
Marcus Georges-Hunt,SG,GATECH,66,31.7,15.3,4.3,0.444,0.321,0.8,2.8,0.286
Marcus Morris,SF,KANSAS,109,26.6,12.6,6.2,0.555,0.358,0.66,14,0.418
Marcus Smart,SG,OKSTATE,64,33.1,16.6,5.9,0.413,0.295,0.751,10.6,0.359
Marcus Thornton,SG,LSU,66,NA,20.4,5.5,0.455,0.382,0.771,6.6,0.4
Markieff Morris,PF,KANSAS,109,21.1,8.5,6.1,0.553,0.404,0.653,14,0.457
Marquese Chriss,PF,WASHINGTON,34,24.9,13.7,5.4,0.53,0.35,0.682,9.2,0.449
Marreese Speights,C,FLORIDA,69,15.4,9.5,5.4,0.633,NA,0.688,8.7,0.445
Marshall Plumlee,C,DUKE,75,19.7,5.2,5.3,0.704,1,0.598,1.9,0.533
Marvin Williams,PF,UNC,36,22.2,11.3,6.6,0.506,0.432,0.847,11.2,0.422
Mason Plumlee,C,DUKE,141,25.9,9.8,7.7,0.574,0.2,0.583,10.4,0.536
Matt Barnes,SF,UCLA,121,22.6,8.8,4.8,0.469,0.314,0.566,7.1,0.391
Matthew Dellavedova,PG,STMARYSCA,136,36.4,14.2,3.4,0.415,0.378,0.86,7.6,0.39
Maurice Harkless,SF,STJOHNS,32,36.1,15.5,8.6,0.452,0.215,0.676,10,0.503
Maurice Ndour,PF,OHIO,66,32.3,14.8,7.6,0.498,0.388,0.757,3.1,0.453
Metta World Peace,SF,STJOHNS,69,34.2,13.1,6.3,0.445,0.355,0.589,2.3,0.279
Meyers Leonard,PF,ILLINOIS,65,19.8,7.7,4.7,0.567,0.083,0.729,5.4,0.386
Michael Beasley,PF,KANSASST,33,31.5,26.2,12.4,0.532,0.379,0.774,9.4,0.532
Michael Carter-Williams,PG,SYRACUSE,66,25.4,8.2,3.6,0.398,0.307,0.679,6.6,0.366
